SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
WAREHOUSE_METERING,2026-07-12,51.831944409,2.168617244,54.000561653,-2.1686172440,51.8319444090
AI_INFERENCE,2026-07-13,0.000364980,0.000000000,0.000364980,0.0000000000,0.0003649800
PIPE,2026-07-13,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-13,0.000011917,0.000000000,0.000011917,0.0000000000,0.0000119170
TRUST_CENTER,2026-07-13,0.681279622,0.000000000,0.681279622,0.0000000000,0.6812796220
WAREHOUSE_METERING,2026-07-13,77.400833288,2.614102946,80.014936234,-2.6141029460,77.4008332880
PIPE,2026-07-14,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-14,0.000002151,0.000000000,0.000002151,0.0000000000,0.0000021510
TRUST_CENTER,2026-07-14,0.660659084,0.000000000,0.660659084,0.0000000000,0.6606590840
WAREHOUSE_METERING,2026-07-14,73.290555530,2.485381421,75.775936951,-2.4853814210,73.2905555300
PIPE,2026-07-15,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COWORK,2026-07-15,0.754564330,0.000000000,0.754564330,0.0000000000,0.7545643300
TELEMETRY_DATA_INGEST,2026-07-15,0.000035031,0.000000000,0.000035031,0.0000000000,0.0000350310
TRUST_CENTER,2026-07-15,0.675369738,0.000000000,0.675369738,0.0000000000,0.6753697380
WAREHOUSE_METERING,2026-07-15,67.275277756,2.237816559,69.513094315,-2.2378165590,67.2752777560
AI_INFERENCE,2026-07-16,0.000135520,0.000000000,0.000135520,0.0000000000,0.0001355200
PIPE,2026-07-16,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-16,0.000000871,0.000000000,0.000000871,0.0000000000,0.0000008710
TRUST_CENTER,2026-07-16,0.738833876,0.000000000,0.738833876,0.0000000000,0.7388338760
WAREHOUSE_METERING,2026-07-16,73.972222185,2.909909652,76.882131837,-2.9099096520,73.9722221850
TRUST_CENTER,2026-07-17,0.669740089,0.000000000,0.669740089,0.0000000000,0.6697400890
WAREHOUSE_METERING,2026-07-17,53.540833307,2.188594564,55.729427871,-2.1885945640,53.5408333070
TRUST_CENTER,2026-07-18,0.729302802,0.000000000,0.729302802,0.0000000000,0.7293028020
WAREHOUSE_METERING,2026-07-18,52.182222187,2.120824658,54.303046845,-2.1208246580,52.1822221870
TRUST_CENTER,2026-07-19,0.656033644,0.000000000,0.656033644,0.0000000000,0.6560336440
WAREHOUSE_METERING,2026-07-19,53.681944419,2.208003559,55.889947978,-2.2080035590,53.6819444190
AI_INFERENCE,2026-07-20,0.000065670,0.000000000,0.000065670,0.0000000000,0.0000656700
PIPE,2026-07-20,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-20,0.212947960,0.000000000,0.212947960,0.0000000000,0.2129479600
SNOWPARK_CONTAINER_SERVICES,2026-07-20,0.023100000,0.000000000,0.023100000,0.0000000000,0.0231000000
